,date,open,close,high,low,value,volume,sentiment_score,MA7,MA20,MACD,20SD,upper_band,lower_band,EMA,logmomentum
0,2025-01-03,280.0,272.25,280.41,271.8,11853565984.9,43086870.0,-0.19304353178712072,,,-7.75,,,,272.25,5.603040904854669
1,2025-01-06,270.88,274.37,274.41,270.07,7737094495.2,28454750.0,0.095794799038316,,,-5.246153846153845,,,,273.84,5.610826188934837
2,2025-01-08,273.07,277.0,277.87,273.07,7356165148.5,26634660.0,0.14701367346399735,,,-3.084724803952156,,,,276.0276923076923,5.62040086571715
3,2025-01-09,276.71,271.8,278.77,270.73,14491325783.8,52952880.0,-0.06485630496645899,,,-3.7253065446435585,,,,273.174,5.60138054103812
4,2025-01-10,272.31,278.77,279.53,270.27,19623132401.4,71154220.0,0.17582985525483474,,,-1.7752152632183993,,,,276.9200826446281,5.626793433128065
5,2025-01-13,280.62,279.8,284.75,278.6,18781966095.5,66601710.0,-0.0350793989917042,,,-1.4053217803050302,,,,278.84266483516484,5.630494678886369
6,2025-01-14,279.84,279.85,282.36,277.41,12888705821.9,46037150.0,0.07924651841195127,276.2628571428572,,-1.0942600049482394,,,,279.5145288197622,5.630674002835563
7,2025-01-15,280.0,282.77,282.82,276.06,14768778206.9,52864450.0,0.11734976703274731,277.7657142857143,,-0.45523519014915337,,,,281.68517378048784,5.641091135316281
8,2025-01-16,283.7,281.8,284.0,281.18,13975953014.3,49453530.0,-0.0770002347964117,278.82714285714286,,-0.7009112018962469,,,,281.7617284828778,5.637642672151656
9,2025-01-17,282.2,283.53,284.64,280.19,14674366108.3,51876150.0,0.06481390231713557,279.76,,-0.47209649883495786,,,,282.9405961251863,5.643784739638504
10,2025-01-20,285.1,278.19,286.23,277.61,19166116805.7,67946640.0,-0.21467384159990793,280.67285714285714,,-1.4433892898391605,,,,279.7735141634584,5.624703191628953
11,2025-01-21,279.39,281.85,281.85,276.32,11305302708.9,40478260.0,0.047036415320352486,281.11285714285714,,-0.9348680847692776,,,,281.1578406593407,5.637820718978442
12,2025-01-22,282.0,280.36,284.0,280.2,13286163684.6,47106880.0,-0.034393169579229714,281.1928571428571,,-1.0842575790711635,,,,280.62594655282936,5.632501272651237
13,2025-01-23,280.79,280.49,280.79,277.35,10774689057.8,38573410.0,-0.10421111703171175,281.2842857142858,,-1.009878677921506,,,,280.5353154986611,5.632966513779786
14,2025-01-24,281.0,280.74,282.75,279.25,9028740828.2,32155210.0,-0.09364789166830532,280.9942857142857,,-0.951100175764509,,,,280.67177184239694,5.6338606003511575
15,2025-01-27,280.72,275.23,280.97,275.01,10825883885.4,39035610.0,-0.1833050104579488,280.05571428571426,,-1.4324993404025577,,,,277.04392386318864,5.613967170333837
16,2025-01-28,275.25,278.35,279.26,274.01,10821743892.1,39030820.0,0.039215332100614474,279.3157142857143,,-0.6920552098143844,,,,277.914641294472,5.6252802465012435
17,2025-01-29,278.0,280.36,282.18,277.12,10974299055.3,39161630.0,0.08352181598690067,279.6257142857143,,-0.2923895402475978,,,,279.5448804356986,5.632501272651237
18,2025-01-30,280.44,281.97,282.5,280.36,7888310432.6,28020880.0,-0.0017831973093290765,279.64285714285717,,-0.1701911978169619,,,,281.1616268132906,5.638247902068488
19,2025-01-31,281.97,280.73,284.11,280.27,11395665602.0,40333120.0,-0.10578172527904126,279.69571428571425,279.0105,-0.4091118039812045,3.332464671901808,285.6754293438036,272.34557065619634,280.8738756043477,5.633824852232399
20,2025-02-03,280.21,279.55,280.35,278.0,8477125815.3,30373760.0,0.05444165765733765,279.5614285714286,279.3755,-0.44468673130739944,2.9282947705375983,285.2320895410752,273.5189104589248,279.99129186803157,5.629597576466825
21,2025-02-04,279.55,277.4,281.41,275.7,6685824653.4,23986670.0,-0.07273874723663937,279.0842857142857,279.527,-0.5686115498795061,2.727171467019681,284.98134293403933,274.07265706596064,278.2637639559555,5.621849091893515
22,2025-02-05,277.3,282.88,283.89,275.34,12035124307.1,43070410.0,0.1629809642848949,280.1771428571429,279.821,0.15234515505323998,2.757191362696157,285.3353827253923,274.30661727460773,281.3412546520178,5.641481448458822
23,2025-02-06,283.89,287.15,288.92,282.09,19885584125.2,69363150.0,0.02037159324169059,281.4342857142857,280.5885,0.1398968828258944,2.5343602431590715,285.6572204863182,275.51977951368184,285.2137515506863,5.656516148855111
24,2025-02-07,287.66,285.81,288.9,285.08,7924869053.3,27626070.0,-0.07862341545198387,282.2128571428571,280.94050000000004,-0.5318938250795213,2.7483554412737514,286.43721088254756,275.4437891174525,285.6112505168959,5.651822291280947
25,2025-02-10,287.61,289.94,294.55,287.61,21267188580.4,73052590.0,0.0702655262276669,283.3514285714286,281.44750000000005,-0.7125676348264847,3.3877874708087266,288.2230749416175,274.6719250583826,288.4970835056331,5.666219054101235
26,2025-02-11,290.35,294.06,294.1,289.3,16355814309.0,56009830.0,0.04431721483860872,285.2557142857143,282.158,-0.8931023237382192,4.379929823999255,290.9178596479985,273.3981403520015,292.2056945018782,5.680377366209879
27,2025-02-12,294.3,314.0,314.4,291.3,56277149585.3,185816680.0,0.5083650553764042,290.1771428571428,283.71950000000004,0.07991907540929333,8.364287162504793,300.4480743250096,266.9909256749905,306.7352315006267,5.746203190540153
28,2025-02-13,315.61,310.1,318.72,307.2,36604642922.8,116925810.0,-0.16879687166674504,294.84857142857146,285.1345,-2.538051456876701,10.212135440893762,305.55877088178755,264.71022911821245,308.97841050020895,5.733664849138071
29,2025-02-14,315.59,309.87,317.84,303.06,39525316749.6,126690930.0,-0.1585752467189027,298.7042857142857,286.4515,-4.639883083485188,11.59865521923717,309.64881043847436,263.25418956152566,309.57280350006965,5.732920476399523
30,2025-02-17,314.0,319.5,319.55,312.31,26824441532.1,84827010.0,0.10913203903895807,303.3257142857143,288.517,-5.269289940012129,13.56208418232324,315.6411683646465,261.3928316353535,316.1909345000232,5.763622475012218
